games_2023,minutes_played_2023,goals_2023,assists_2023,goals_against_2023,goals_for_2023,clean_sheet_2023,position,sub_position,foot,height_in_cm,age,term_days_remaining,market_value_in_eur,highest_market_value_in_eur,yellow_cards_2023,red_cards_2023,current_club_domestic_competition_id
33.0,2433.0,4.0,5.0,29.0,74.0,11.0,2,5,1.0,181.0,25.0,800,70000000.0,70000000.0,6.0,0.0,3
34.0,2166.0,11.0,8.0,32.0,62.0,13.0,3,8,0.0,172.0,25.0,70,20000000.0,30000000.0,1.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,193.0,29.0,435,600000.0,600000.0,0.0,0.0,2
27.0,2184.0,2.0,1.0,55.0,42.0,4.0,2,2,0.0,190.0,25.0,1165,20000000.0,20000000.0,5.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5,1.0,182.0,30.0,70,600000.0,1000000.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,1.0,184.0,26.0,435,400000.0,400000.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,188.0,24.0,1165,3000000.0,3500000.0,0.0,0.0,2
25.0,1932.0,2.0,2.0,37.0,33.0,5.0,1,6,0.0,180.0,27.0,1165,45000000.0,45000000.0,5.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,174.0,28.0,435,2000000.0,5000000.0,0.0,0.0,4
39.0,3153.0,5.0,13.0,56.0,84.0,12.0,1,6,1.0,187.0,23.0,800,40000000.0,40000000.0,3.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,185.0,27.0,435,800000.0,1000000.0,0.0,0.0,3
27.0,1875.0,2.0,2.0,42.0,46.0,6.0,2,2,1.0,184.0,27.0,800,8500000.0,8500000.0,3.0,0.0,1
19.0,578.0,2.0,0.0,16.0,34.0,10.0,1,7,1.0,166.0,24.0,1165,8000000.0,8000000.0,2.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,0.0,175.0,23.0,254,1000000.0,1000000.0,0.0,0.0,0
12.0,268.0,0.0,0.0,19.0,21.0,2.0,1,6,1.0,182.0,22.0,70,1500000.0,1500000.0,1.0,0.0,1
20.0,738.0,1.0,3.0,27.0,28.0,6.0,3,8,1.0,178.0,22.0,70,7500000.0,9000000.0,3.0,0.0,1
23.0,1846.0,2.0,2.0,23.0,26.0,8.0,2,5,1.0,180.0,24.0,1531,70000000.0,70000000.0,6.0,0.0,0
36.0,2692.0,3.0,0.0,44.0,79.0,13.0,2,4,0.0,185.0,22.0,1165,75000000.0,75000000.0,1.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,184.0,23.0,435,250000.0,300000.0,0.0,0.0,3
9.0,209.0,1.0,0.0,18.0,7.0,1.0,3,3,1.0,191.0,23.0,70,4000000.0,4000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,0.0,171.0,22.0,800,250000.0,250000.0,0.0,0.0,2
30.0,1909.0,12.0,1.0,52.0,45.0,5.0,3,3,1.0,190.0,24.0,800,7000000.0,7000000.0,4.0,0.0,3
5.0,265.0,0.0,1.0,11.0,11.0,0.0,2,5,1.0,183.0,22.0,70,5000000.0,7000000.0,0.0,0.0,3
22.0,912.0,0.0,1.0,38.0,34.0,5.0,3,9,1.0,180.0,24.0,1165,15000000.0,20000000.0,3.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,178.0,22.0,435,800000.0,800000.0,0.0,0.0,2
39.0,3344.0,2.0,1.0,61.0,73.0,11.0,2,4,1.0,194.0,25.0,800,30000000.0,40000000.0,5.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,188.0,22.0,435,175000.0,200000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,183.0,22.0,435,700000.0,800000.0,0.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,0.0,187.0,22.0,70,250000.0,250000.0,0.0,0.0,3
26.0,1829.0,2.0,1.0,32.0,46.0,7.0,2,4,1.0,194.0,20.0,1165,30000000.0,30000000.0,6.0,0.0,2
31.0,1342.0,0.0,3.0,33.0,49.0,14.0,1,7,1.0,180.0,21.0,800,15000000.0,15000000.0,5.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,176.0,23.0,435,1000000.0,5500000.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,184.0,22.0,70,125000.0,200000.0,0.0,0.0,2
29.0,2490.0,5.0,5.0,40.0,38.0,7.0,2,2,0.0,184.0,25.0,70,8000000.0,8000000.0,2.0,0.0,2
13.0,279.0,0.0,0.0,23.0,14.0,2.0,2,5,1.0,180.0,22.0,1165,3500000.0,3500000.0,3.0,0.0,2
23.0,1518.0,0.0,0.0,54.0,16.0,2.0,1,6,0.0,185.0,24.0,800,1200000.0,1800000.0,3.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,180.0,24.0,800,200000.0,225000.0,0.0,0.0,4
21.0,564.0,4.0,1.0,20.0,35.0,6.0,3,3,1.0,188.0,26.0,1165,8000000.0,12000000.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,1.0,190.0,24.0,435,150000.0,150000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,189.0,21.0,435,250000.0,250000.0,0.0,0.0,3
28.0,2446.0,1.0,0.0,33.0,47.0,5.0,2,4,0.0,184.0,21.0,435,20000000.0,20000000.0,5.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,182.0,23.0,1531,24000000.0,24000000.0,0.0,0.0,0
13.0,315.0,0.0,1.0,15.0,24.0,5.0,1,7,1.0,181.0,22.0,1165,2000000.0,3000000.0,1.0,0.0,4
3.0,107.0,0.0,1.0,1.0,10.0,2.0,2,4,0.0,187.0,23.0,800,1000000.0,1500000.0,0.0,0.0,4
36.0,2383.0,0.0,7.0,45.0,65.0,10.0,2,2,0.0,176.0,22.0,435,18000000.0,18000000.0,1.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,0.0,171.0,22.0,800,1200000.0,1200000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,182.0,20.0,435,300000.0,300000.0,0.0,0.0,0
28.0,1416.0,4.0,0.0,59.0,38.0,4.0,3,9,1.0,183.0,24.0,1165,5000000.0,6000000.0,3.0,0.0,0
3.0,73.0,0.0,0.0,4.0,5.0,0.0,2,2,0.0,190.0,21.0,70,1000000.0,1000000.0,0.0,0.0,2
22.0,1265.0,2.0,1.0,29.0,34.0,6.0,1,6,1.0,170.0,22.0,1165,2000000.0,2000000.0,0.0,0.0,3
9.0,96.0,0.0,2.0,9.0,11.0,3.0,3,3,1.0,193.0,22.0,800,500000.0,500000.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,1.0,175.0,22.0,435,100000.0,100000.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,183.0,24.0,70,400000.0,500000.0,0.0,0.0,3
11.0,463.0,0.0,1.0,20.0,9.0,0.0,2,2,0.0,176.0,25.0,1165,3500000.0,4500000.0,2.0,0.0,4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1.0,190.0,23.0,70,100000.0,150000.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1.0,182.0,22.0,435,1500000.0,1500000.0,0.0,0.0,3
7.0,94.0,0.0,1.0,15.0,5.0,1.0,1,6,0.0,165.0,22.0,435,400000.0,400000.0,0.0,0.0,3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,1.0,176.0,21.0,435,100000.0,100000.0,0.0,0.0,4
28.0,2363.0,0.0,2.0,30.0,30.0,8.0,2,4,1.0,181.0,40.0,70,2500000.0,40000000.0,3.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,179.0,35.0,70,175000.0,3000000.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0.0,178.0,36.0,254,300000.0,5000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7,0.0,180.0,34.0,40,500000.0,2000000.0,0.0,0.0,4
8.0,720.0,0.0,0.0,6.0,32.0,5.0,0,0,1.0,192.0,36.0,70,900000.0,6000000.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,180.0,36.0,70,400000.0,5000000.0,0.0,0.0,1
3.0,270.0,0.0,0.0,7.0,3.0,0.0,0,0,1.0,184.0,35.0,70,100000.0,500000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,4,1.0,188.0,35.0,70,100000.0,2000000.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,185.0,36.0,70,350000.0,1500000.0,0.0,0.0,2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,185.0,35.0,70,1200000.0,13000000.0,0.0,0.0,0
23.0,1231.0,6.0,3.0,47.0,25.0,6.0,1,6,1.0,183.0,34.0,70,900000.0,4000000.0,2.0,1.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,1.0,192.0,33.0,70,450000.0,2500000.0,0.0,0.0,1
